iter	Passed	Remaining
0	36	9198
1	72	8980
2	110	9060
3	145	8978
4	182	8933
5	217	8842
6	253	8794
7	289	8746
8	325	8707
9	359	8639
10	394	8578
11	430	8534
12	465	8482
13	499	8425
14	536	8403
15	571	8364
16	607	8324
17	643	8295
18	678	8252
19	715	8223
20	751	8198
21	788	8170
22	823	8126
23	862	8118
24	898	8085
25	935	8063
26	972	8031
27	1008	7996
28	1044	7959
29	1081	7927
30	1117	7892
31	1154	7864
32	1190	7830
33	1226	7790
34	1263	7761
35	1299	7724
36	1337	7698
37	1374	7666
38	1408	7622
39	1444	7584
40	1479	7544
41	1514	7501
42	1550	7463
43	1587	7430
44	1622	7392
45	1659	7357
46	1695	7321
47	1730	7282
48	1766	7246
49	1802	7209
50	1839	7177
51	1876	7143
52	1912	7108
53	1947	7070
54	1983	7033
55	2019	6996
56	2057	6965
57	2094	6932
58	2130	6898
59	2167	6862
60	2203	6826
61	2239	6791
62	2275	6755
63	2312	6719
64	2346	6679
65	2382	6640
66	2419	6608
67	2456	6575
68	2494	6543
69	2531	6510
70	2567	6472
71	2603	6437
72	2640	6401
73	2675	6362
74	2711	6327
75	2748	6292
76	2786	6260
77	2826	6233
78	2873	6220
79	2915	6194
80	2952	6160
81	2988	6123
82	3025	6088
83	3063	6053
84	3099	6016
85	3138	5984
86	3178	5954
87	3214	5917
88	3251	5881
89	3289	5847
90	3327	5814
91	3364	5777
92	3400	5740
93	3437	5704
94	3476	5671
95	3515	5639
96	3551	5602
97	3588	5566
98	3624	5527
99	3661	5492
100	3700	5459
101	3741	5428
102	3780	5396
103	3820	5362
104	3857	5326
105	3896	5293
106	3938	5263
107	3976	5228
108	4014	5192
109	4052	5158
110	4090	5122
111	4127	5086
112	4163	5047
113	4199	5010
114	4235	4972
115	4274	4937
116	4310	4900
117	4347	4862
118	4384	4827
119	4424	4793
120	4461	4756
121	4497	4719
122	4536	4684
123	4572	4646
124	4610	4610
125	4648	4574
126	4685	4537
127	4723	4502
128	4760	4465
129	4798	4429
130	4850	4406
131	4892	4373
132	4928	4335
133	4965	4298
134	5001	4260
135	5038	4223
136	5075	4186
137	5111	4148
138	5148	4111
139	5192	4079
140	5229	4042
141	5265	4004
142	5301	3967
143	5339	3930
144	5373	3890
145	5409	3853
146	5445	3815
147	5482	3778
148	5519	3741
149	5557	3705
150	5595	3668
151	5632	3631
152	5670	3595
153	5710	3559
154	5747	3522
155	5786	3486
156	5823	3449
157	5859	3411
158	5896	3374
159	5932	3337
160	5970	3300
161	6005	3262
162	6041	3224
163	6080	3188
164	6116	3150
165	6153	3113
166	6189	3075
167	6223	3037
168	6260	3000
169	6298	2963
170	6334	2926
171	6371	2889
172	6407	2851
173	6445	2815
174	6482	2778
175	6517	2740
176	6553	2703
177	6589	2665
178	6626	2628
179	6663	2591
180	6699	2554
181	6736	2517
182	6774	2480
183	6810	2443
184	6848	2406
185	6885	2369
186	6919	2331
187	6956	2294
188	6990	2256
189	7026	2219
190	7065	2182
191	7103	2145
192	7137	2107
193	7173	2070
194	7209	2033
195	7244	1995
196	7280	1958
197	7317	1921
198	7352	1884
199	7388	1847
200	7423	1809
201	7459	1772
202	7494	1735
203	7530	1697
204	7567	1661
205	7602	1623
206	7636	1586
207	7671	1549
208	7708	1512
209	7746	1475
210	7781	1438
211	7826	1402
212	7862	1365
213	7898	1328
214	7933	1291
215	7969	1254
216	8006	1217
217	8042	1180
218	8079	1143
219	8117	1106
220	8155	1070
221	8190	1033
222	8229	996
223	8266	959
224	8302	922
225	8337	885
226	8373	848
227	8411	811
228	8447	774
229	8482	737
230	8520	700
231	8558	663
232	8599	627
233	8636	590
234	8673	553
235	8712	516
236	8749	479
237	8786	443
238	8824	406
239	8862	369
240	8899	332
241	8936	295
242	8975	258
243	9015	221
244	9052	184
245	9088	147
246	9125	110
247	9163	73
248	9202	36
249	9242	0
